@RELATION STAR-A-BE



@ATTRIBUTE jh NUMERIC
@ATTRIBUTE hk NUMERIC
@ATTRIBUTE grp {o,be}


@DATA
-0.035999775,0.11899996,be
-0.024000168,0.005999565,be
-0.006000042,0.11399984,be
0.015000343,0.15899992,be
-0.021999836,0.048999786,be
-0.0030002594,0.012999535,be
0.03999996,0.21399975,be
0.0029997826,0.05499983,be
0.012000084,-0.028000116,be
-9.999275E-4,0.03700018,be
0.6700001,0.2479999,be
-0.035999775,9.999275E-4,be
-0.034999847,0.048999786,be
0.07600021,0.16899967,be
0.0149998665,0.16200018,be
-0.07800007,0.05000019,be
-0.07200003,0.038000107,be
-0.08000088,-0.005999565,be
0.00399971,0.0,be
0.15799999,0.14899993,be
-0.07599974,0.013000011,be
-0.10500002,0.07999992,be
0.015999794,0.04699993,be
-0.01600027,0.20000029,be
0.1449995,0.119000435,be
-0.04099989,0.042999744,be
-0.02599907,0.033999443,be
0.34800005,0.12800026,be
0.16600037,0.24800014,be
0.77800035,0.9459996,be
-0.032000065,0.0029997826,be
0.09300041,0.07800007,be
-0.019000053,0.058000565,be
0.16200018,0.31799984,be
0.4630003,0.5439997,be
-0.04400015,0.06699991,be
0.0720005,0.16399956,be
-0.0030002594,0.0,be
0.01099968,0.034000397,be
0.0010004044,0.020999908,be
-0.001999855,0.07200003,be
0.013999939,0.06799984,be
0.10000038,0.17399979,be
-0.09000015,0.2130003,be
0.03700018,0.19099998,be
0.032000065,0.13199997,be
0.013999939,0.024000168,be
0.17600012,0.07800007,be
-0.020999908,0.14100003,be
0.2720003,0.14799976,be
-0.0020003319,0.21000004,be
-0.022999763,0.018000126,be
0.020999908,-0.019000053,be
-0.08500004,0.08800006,be
0.1949997,0.22599983,be
0.0,0.06699991,be
-0.07700014,0.1420002,be
0.31599998,0.30100012,be
0.052000046,0.08899975,be
-0.06699991,0.069999695,be
0.2540002,0.04300022,be
0.19200039,0.33900023,be
-0.031000137,0.069999695,be
-0.032000065,0.08400011,be
0.07499981,0.29799986,be
0.14499998,0.26099968,be
-0.07999992,0.03799963,be
0.25699997,0.15199995,be
0.2249999,0.27799988,be
0.019000053,0.07000017,be
0.20199966,0.23099995,be
0.07999992,0.09800053,be
0.10100031,0.1369996,be
-0.062000275,0.055999756,be
0.017000198,0.052999973,be
0.02699995,0.06699991,be
-0.032000065,0.032999992,be
-0.032000065,-0.26600003,be
0.024999619,0.020999908,be
0.059999943,0.17700005,be
0.06500006,0.19399977,be
-0.017999649,0.03999996,be
0.20899963,0.17900038,be
0.20699978,0.27900028,be
0.009999275,0.027999878,be
-0.04799986,0.042000294,be
-0.029000282,0.062000275,be
0.041999817,0.22600031,be
0.0089998245,0.021000862,be
0.023999691,0.11100006,be
0.06099987,0.15299988,be
-0.013999939,-0.0149998665,be
0.041999817,0.015000343,be
0.0089998245,-0.012000084,be
0.14500046,0.2159996,be
-0.029000044,0.026000023,be
0.061000347,0.16799974,be
0.045000076,0.11000061,be
-0.052000046,-0.0149998665,be
0.32299995,0.34399986,be
0.08000016,-0.123000145,be
-0.058000088,0.14400005,be
-0.031000137,0.085999966,be
-0.04300022,0.042000294,be
-0.10400009,-0.027999878,be
0.018999577,0.05300045,be
-0.065999985,0.03700018,be
0.26900005,0.23799992,be
0.015000343,0.09200001,be
0.17800045,0.2539997,be
0.059000015,0.08799982,be
0.2550001,0.26399994,be
0.027000427,0.041999817,be
0.16100025,0.23899984,be
0.22900009,0.24100018,be
-0.13400006,-0.01699996,be
0.025000095,0.017000198,be
