@RELATION STAR-B-BE

@ATTRIBUTE jh NUMERIC
@ATTRIBUTE hk NUMERIC
@ATTRIBUTE jk NUMERIC
@ATTRIBUTE grp {b,be}


@DATA
0.008000374,-0.015000343,-0.0069999695,b
0.015999794,0.058000565,0.07400036,b
-0.13200009,-0.06400001,-0.1960001,b
-0.039000034,0.024000168,-0.0149998665,b
0.09700012,0.034000397,0.13100052,b
-0.03399992,0.019000053,-0.0149998665,b
-0.06799984,-0.026999474,-0.09499931,b
0.0089998245,0.052999973,0.061999798,b
-0.082000256,0.03999996,-0.042000294,b
0.001999855,0.037000656,0.03900051,b
-0.032999992,-0.041999817,-0.07499981,b
-0.034000397,0.011000156,-0.02300024,b
-0.15400004,-0.078999996,-0.23300004,b
-0.059000015,0.09899998,0.03999996,b
-0.019000053,0.062000275,0.04300022,b
-0.116000175,0.024999619,-0.09100056,b
0.015000343,0.0149998665,0.03000021,b
-0.07000017,0.019000053,-0.05100012,b
0.049999714,-0.05499983,-0.0050001144,b
-0.125,-0.10099983,-0.22599983,b
0.06300068,0.02199936,0.08500004,b
-0.103999615,0.035999775,-0.06799984,b
-0.054000378,-0.00399971,-0.058000088,b
-0.039000034,0.008000374,-0.03099966,b
-0.06699991,0.08300018,0.01600027,b
0.041999817,0.08600044,0.12800026,b
0.05000019,0.031999588,0.08199978,b
-0.09800005,-0.015999794,-0.11399984,b
0.18799973,0.062000275,0.25,b
-0.03000021,-0.006000042,-0.03600025,b
0.08400011,0.038000107,0.12200022,b
0.4239998,0.22399998,0.64799976,b
-0.038999557,0.022999763,-0.015999794,b
-0.08399987,0.049999952,-0.03399992,b
0.0,-0.03399992,-0.03399992,b
0.041000366,0.08300018,0.12400055,b
-0.06099987,0.034999847,-0.026000023,b
-0.045999527,0.08499956,0.039000034,b
-0.052000046,0.012000084,-0.03999996,b
0.059999466,0.025000572,0.08500004,b
-0.092999935,0.0149998665,-0.07800007,b
9.999275E-4,0.09200001,0.092999935,b
-0.020999908,0.0,-0.020999908,b
0.19400024,0.0069999695,0.20100021,b
-0.13700008,0.042000294,-0.09499979,b
-0.122000694,-0.026000023,-0.14800072,b
-0.051000595,-0.00799942,-0.059000015,b
-0.10800028,0.06500006,-0.04300022,b
-0.052000046,-0.04699993,-0.09899998,b
-0.052000046,0.031000137,-0.020999908,b
-0.02300024,0.017000198,-0.006000042,b
-0.027999878,0.020999908,-0.0069999695,b
-0.07499981,0.012000084,-0.062999725,b
0.021000862,-0.026000023,-0.0049991608,b
-0.08699989,0.022999763,-0.06400013,b
