# col1    HIP     RA               DE               RARad          DERad          
  29298   29298   92.653096741     3.8717219185     1.6171016003   0.0675742952   
  29478   29478   93.1660457385    32.9726557349    1.6260542492   0.5754814057   
  29563   29563   93.4257457575    8.7123943936     1.6305868696   0.1520599679   
  29728   29728   93.9174056888    6.066208028      1.6391679542   0.1058753032   
  29753   29753   93.9857129149    -44.6196564465   1.6403601402   -0.7787599161  
  29771   29771   94.0320685753    -16.618008606    1.6411691991   -0.2900389653  
  29979   29979   94.6643178479    23.0079323223    1.6522040306   0.4015641731   
  30042   30042   94.8264746786    -12.5332622283   1.6550342012   -0.2187466919  
  30143   30143   95.1509968278    -34.1441929263   1.6606981812   -0.595928587   
  30214   30214   95.3529908181    -11.7732433846   1.6642236414   -0.2054818607  
  30389   30389   95.8528435817    15.1017954348    1.6729477179   0.2635760533   
  30443   30443   96.0007464486    8.3006933353     1.6755291099   0.1448744289   
  30452   30452   96.0162140401    25.4170056219    1.6757990703   0.4436104341   
  30468   30468   96.0857524438    -12.9619486777   1.6770127444   -0.2262286819  
  30621   30621   96.5264681764    -9.3974020496    1.684704685    -0.1640156069  
  30722   30722   96.8157393265    14.8892276746    1.689753419    0.259866046    
  30840   30840   97.1635189213    -32.3712973386   1.695823318    -0.5649857217  
  30867   30867   97.2044738643    -7.0330516812    1.6965381166   -0.1227499083  
  30883   30883   97.2407932234    20.2121667357    1.697172009    0.3527688585   
  30992   30992   97.5734549544    2.8478961057     1.7029780515   0.0497051638   
  31028   31028   97.6605169971    -22.3218156434   1.7044975708   -0.389589178   
  31066   31066   97.7898358633    11.251381175     1.7067546108   0.1963736469   
  31199   31199   98.180134341     -7.5089745073    1.7135666043   -0.1310563286  
  31236   31236   98.2733088923    16.9487594769    1.715192807    0.295811657    
  31583   31583   99.1472095951    -5.2111083222    1.7304452516   -0.0909509979  
  31604   31604   99.2163881584    -12.8513614634   1.7316526453   -0.2242985709  
  31894   31894   100.0065877774   -4.6987085793    1.7454442304   -0.0820079353  
  32088   32088   100.5539219259   -10.4980848909   1.7549970134   -0.1832261465  
  32292   32292   101.1186209813   -31.0705379217   1.7648528712   -0.5422831871  
  32385   32385   101.379961814    -30.9489909416   1.7694141292   -0.5401617921  
  32418   32418   101.5134438259   -39.5402753498   1.7717438298   -0.690107992   
  32434   32434   101.5506482215   -37.7753480982   1.772393169    -0.6593042004  
  32586   32586   101.9886178649   0.7761184478     1.7800371813   0.0135458223   
  32696   32696   102.3161260868   -12.6679267736   1.7857532781   -0.2210970316  
  32759   32759   102.4602726653   -32.5084875333   1.7882691105   -0.5673801423  
  32766   32766   102.4813431538   -5.5132001077    1.7886368599   -0.0962234942  
  32786   32786   102.5337134443   -12.584761835    1.7895508939   -0.2196455296  
  32815   32815   102.6103055371   -14.1133731827   1.7908876781   -0.2463248306  
  32876   32876   102.7598262592   -13.2317698358   1.793497307    -0.2309379495  
  32947   32947   102.9406390827   5.0844105603     1.7966530861   0.0887397048   
  32977   32977   103.0431639787   -0.2955335043    1.7984424831   -0.0051580327  
  33119   33119   103.467366976    -13.1858639874   1.8058462221   -0.2301367413  
  33200   33200   103.6496268159   -17.9172046445   1.8090272564   -0.3127142138  
  33210   33210   103.6751793699   -1.7564851827    1.8094732326   -0.0306564497  
  33267   33267   103.806873467    5.4340170539     1.8117717282   0.0948414892   
  33309   33309   103.9285150368   -24.6788413022   1.8138947741   -0.4307270363  
  33361   33361   104.0795211519   -3.807087369     1.816530328    -0.0664462095  
  33377   33377   104.1335849395   46.2739864056    1.8174739191   0.8076334208   
  33493   33493   104.4287680744   17.902021114     1.8226258367   0.3124492112   
  33670   33670   104.9276983416   -11.1573895056   1.8313338126   -0.1947331828  
  33673   33673   104.9356312058   -28.3997247702   1.8314722672   -0.4956687039  
  33676   33676   104.9435831725   -16.200758761    1.8316110552   -0.2827565817  
  33721   33721   105.0806871084   -22.1190693022   1.8340039703   -0.3860505868  
  33769   33769   105.1980808894   -26.0934485444   1.8360528783   -0.4554165903  
  33846   33846   105.3900381489   -27.2229525894   1.8394031645   -0.4751301548  
  33868   33868   105.456303342    -11.3009339914   1.8405597103   -0.1972385067  
  34032   34032   105.9049187933   -2.4741720538    1.848389527    -0.0431824486  
  34116   34116   106.1063868599   -10.4543792005   1.8519058081   -0.1824633383  
  34207   34207   106.3945137502   14.4731304258    1.856934571    0.252603779    
  34360   34360   106.8441214498   -23.8407345448   1.8647817057   -0.4160993139  
  34485   34485   107.1976449637   -15.9341494095   1.870951855    -0.2781033707  
  34569   34569   107.404084671    -16.0963371226   1.8745549076   -0.2809340803  
  34619   34619   107.5473031438   -9.3363136104    1.8770545415   -0.1629494125  
  34666   34666   107.6921877091   -11.5740614597   1.8795832542   -0.2020054803  
  34719   34719   107.8368772052   -10.4288351319   1.8821085623   -0.1820175102  
  34718   34718   107.8372453191   -21.8032953533   1.8821149871   -0.3805392917  
  34839   34839   108.1450518945   -9.845031876     1.8874872253   -0.1718282212  
  34852   34852   108.1894950046   -15.5017907476   1.8882629039   -0.2705572885  
  34986   34986   108.5827765239   -15.3954536654   1.8951269613   -0.2687013563  
  35021   35021   108.6602253376   2.9019337436     1.8964786981   0.0506482985   
  35037   35037   108.7027567854   -26.7726860629   1.8972210119   -0.4672715214  
  35363   35363   109.5766700418   -36.7339677409   1.9124736756   -0.6411286844  
  35406   35406   109.6591364531   -36.7427494077   1.913912986    -0.6412819534  
  35532   35532   109.9974364038   -40.4949000363   1.919817434    -0.7067693359  
  35594   35594   110.1790942943   -8.42102164      1.9229879623   -0.146974554   
  35752   35752   110.6188508841   -23.0256094969   1.9306631627   -0.401872698   
  35769   35769   110.6804871627   -26.0113512669   1.9317389187   -0.4539837225  
  35795   35795   110.7529290357   -31.9237902111   1.9330032679   -0.5571752489  
  35864   35864   110.9072814306   -14.1001843875   1.9356972254   -0.2460946427  
  35926   35926   111.0864261047   -26.5077148035   1.9388238898   -0.4626469005  
  35933   35933   111.1152036204   15.517199101     1.9393261522   0.270826215    
  35951   35951   111.1674600757   -16.2014234894   1.9402381994   -0.2827681834  
  36167   36167   111.7477167343   -41.6291118349   1.9503655886   -0.7265650662  
  36188   36188   111.7878010393   8.2894088284     1.9510651917   0.1446774771   
  36209   36209   111.8507025691   15.6596782176    1.9521630305   0.2733129447   
  36250   36250   111.9625253497   -16.0938803999   1.9541147062   -0.2808912024  
  36293   36293   112.0514003971   -27.3996780008   1.9556658684   -0.4782145951  
