# col1    HIP     RA               DE               RARad          DERad           _r        _RAJ2000     _DEJ2000     RAJ2000      DEJ2000      2MASS              Jmag     e_Jmag   Hmag     e_Hmag   Kmag     e_Kmag   Qflg Rflg Bflg Cflg Xflg   Aflg   Separation             
  19008   19008   61.0901681664    53.3290505351    1.0662245751   0.9307675188    5.5E-5    61.090186    53.329105    61.090186    53.329105    04042164+5319447   7.338    0.023    7.165    0.027    6.943    0.018    AAA 111 111 0d0 0      0      5.549648227298989E-5   
  19343   19343   62.165305501     47.712593618     1.0849892615   0.8327418533    8.7E-5    62.165336    47.712509    62.165336    47.712509    04083968+4742450   3.978    0.254    3.899    0.266    3.796    0.312    DDD 333 111 d00 0      0      8.707082350892154E-5   
  19529   19529   62.7641449628    16.6469789965    1.0954409818   0.290544594     3.3E-5    62.764135    16.647011    62.764135    16.647011    04110339+1638492   5.957    0.023    5.884    0.049    5.762    0.016    AAA 111 111 000 0      0      3.3396640368654225E-5  
  19647   19647   63.1519338223    42.1184423833    1.1022091742   0.7351054954    1.9E-5    63.151914    42.118454    63.151914    42.118454    04123645+4207064   7.083    0.02     7.011    0.034    6.802    0.017    AAA 111 111 000 0      0      1.873865890697067E-5   
  19991   19991   64.3181974127    46.2305567834    1.1225643138   0.8068754309    2.5E-5    64.318215    46.230579    64.318215    46.230579    04171637+4613500   7.46     0.02     7.388    0.057    7.274    0.024    AAA 111 111 000 0      0      2.532967939761774E-5   
  20245   20245   65.0698723752    42.3144053053    1.1356835168   0.7385256936    4.6E-5    65.069843    42.314365    65.069843    42.314365    04201676+4218517   8.165    0.024    7.659    0.04     7.499    0.024    AAA 111 111 000 0      0      4.578597874136456E-5   
  20922   20922   67.2788555431    -13.0483673003   1.1742375462   -0.2277369714   4.5E-5    67.278896    -13.04839    67.278896    -13.04839    04290693-1302542   5.87     0.019    5.939    0.029    5.798    0.021    AAA 111 111 000 0      0      4.548192258865008E-5   
  21127   21127   67.9241422526    53.8127826155    1.1854999239   0.9392102363    7.0E-6    67.924152    53.812786    67.924152    53.812786    04314179+5348460   8.566    0.018    8.439    0.02     8.233    0.014    AAA 112 111 000 0      0      6.676539721665009E-6   
  21605   21605   69.5673860111    -24.6585644289   1.2141799379   -0.4303731381   2.3E-5    69.567409    -24.658554   69.567409    -24.658554   04381617-2439307   8.756    0.026    8.678    0.023    8.494    0.021    AAA 222 111 000 0      0      2.335081245124844E-5   
  21626   21626   69.6510022628    8.1751928203     1.2156393168   0.1426840317    1.9E-5    69.650985    8.175201     69.650985    8.175201     04383623+0810307   7.458    0.029    7.547    0.055    7.254    0.02     AAA 111 111 000 0      0      1.8944282030691238E-5  
  21667   21667   69.7703729316    41.2500079671    1.217722728    0.7199484555    3.0E-5    69.770378    41.250038    69.770378    41.250038    04390489+4115001   8.265    0.034    8.246    0.026    8.266    0.018    AAA 112 111 000 0      0      3.0273683860347405E-5  
  21700   21700   69.8874641164    43.6592034729    1.2197663547   0.7619968494    8.0E-6    69.887457    43.65921     69.887457    43.65921     04393298+4339331   7.761    0.023    7.717    0.057    7.585    0.021    AAA 111 111 000 0      0      8.313199725514381E-6   
  22024   22024   71.0221583053    -8.5035739778    1.2395705043   -0.1484153641   1.7E-5    71.022142    -8.503579    71.022142    -8.503579    04440531-0830128   5.69     0.023    5.647    0.042    5.452    0.018    AAA 111 111 000 0      0      1.6889996374045807E-5  
